model_number_1,model_number_2,iRMSD,TCR-iRMSD,Peptide-RMSD,MHC-iRMSD,CDR3a-RMSD,CDR3b-RMSD,DockQ,iRMSD-DockQ,lRMSD-DockQ,Fnat,Clashes
0_model,4_model,0.6104772836378148,0.4171119755659976,0.5645043139859639,0.6734859274048449,0.40872950587093376,0.2279926835412673,0.915,0.214,4.143,0.956,0
1_model,2_model,0.238420437637379,0.26913045550935133,0.060389165915947174,0.23864836486452815,0.06274598654968928,0.5911350834140827,0.904,0.096,4.974,0.97,0
1_model,3_model,0.24960483295864017,0.36360997987404503,0.06686573166208724,0.2062980722182811,0.08739068253974208,0.6629375287386731,0.85,0.206,6.944,0.97,0
1_model,4_model,0.25140653694394505,0.35513941626495205,0.0731145895009974,0.2146772130332279,0.3959006354201427,0.6490839514398533,0.878,0.158,5.697,0.956,0
2_model,3_model,0.23674024614884334,0.25418368962764937,0.07560402211447582,0.2418703518865725,0.09365060623673341,0.3236662484787163,0.953,0.188,3.218,1.0,0
2_model,4_model,0.20510460630251157,0.3277463749804205,0.068153197816947,0.14853986911394756,0.39862347918531643,0.25061811440203047,0.946,0.141,3.406,0.985,0
3_model,4_model,0.23772052647940395,0.30553885112213924,0.07230205695412227,0.22044311708407976,0.3895520820996734,0.09872240497589692,0.89,0.105,5.498,0.971,0
0_model,1_model,0.8863130339217101,1.7660306467591291,0.6275811221857838,0.40168388560481133,3.83181982647123,0.5916810298125494,0.864,0.794,1.33,0.833,0
0_model,2_model,0.9887105963897337,2.025324582867039,0.2545933675702416,0.425905406335709,4.510537214029249,0.6787595250144572,0.89,0.525,2.089,0.836,0
0_model,3_model,0.8855830365254407,1.8030001164925409,0.2656397967665066,0.3937411207732266,3.961613992486462,0.6814025708059639,0.907,0.579,1.055,0.864,0
0_model,4_model,0.9474836335200971,1.9187572428452626,0.43947087327751116,0.420985863733913,4.078468203237389,0.7128497152217284,0.903,0.563,0.992,0.845,0
1_model,2_model,0.5334510934267588,0.8987429648314214,0.5949925779175108,0.37518291235548046,1.9184727107017594,0.4386998100591648,0.863,0.595,3.021,0.836,0
1_model,3_model,0.5808134199882479,1.1293245779211711,0.6020248306722524,0.2994329527791478,2.9258763187922807,0.18347629117468495,0.855,0.777,1.696,0.814,0
1_model,4_model,0.6445710216269289,1.2842536105540814,0.49981181826892795,0.3316356595757905,2.8930084574672805,0.39034623842436444,0.808,0.978,1.152,0.741,0
2_model,3_model,0.953993083674888,2.003813551064594,0.17311611174361788,0.3663681613826189,4.336795895977805,0.5340960448205666,0.871,0.69,1.82,0.831,0
2_model,4_model,1.01463113099313,2.124908615367647,0.40016355236236195,0.3824967699904051,4.493062855371424,0.35470679389368504,0.819,0.78,2.642,0.759,0
3_model,4_model,0.6526272041465901,1.226290523891461,0.38155226506611867,0.3826100284035859,2.12010767436157,0.4243327119457633,0.875,0.766,1.477,0.862,0
0_model,1_model,0.931041131690512,1.3124493215504407,1.2155243609769317,0.6941386270844321,1.5601354346944274,0.7391753168184109,0.849,0.822,1.976,0.831,0
0_model,2_model,0.9276569400906869,1.5981728832756854,0.6018498257733411,0.5299003416853254,1.72474929230675,0.8537913482567624,0.845,0.841,2.271,0.841,0
0_model,3_model,0.9467642330047631,1.34182083153004,1.1965091862600061,0.7080265835152241,1.7364501294725023,0.7411677979435718,0.872,0.837,2.003,0.905,0
0_model,4_model,1.0359297975890742,1.3340669869453996,2.02629760264967,0.6965866256729476,1.7025733737470237,0.7017231848539858,0.873,0.784,1.289,0.857,0
1_model,2_model,1.1217714077994967,1.8021041623454592,1.1056184744699515,0.71853131399271,1.5919278197126976,0.8720335858319501,0.855,0.658,2.546,0.81,0
1_model,3_model,0.30280842347771386,0.54681132506691,0.19077211550277928,0.14106611809893377,0.9871863531025705,0.14243162225842226,0.937,0.294,2.671,0.937,0
1_model,4_model,0.5128047123009644,0.6100754765596906,1.4414486650767049,0.1637456967644886,1.234302925640783,0.14077344759179583,0.945,0.274,1.305,0.889,0
2_model,3_model,1.0831830996270946,1.6952115184183247,1.0697163592143077,0.7420265358809913,1.2282464161290214,0.8386547060886608,0.9,0.607,1.092,0.857,0
2_model,4_model,1.180225287339007,1.6958922387810402,2.0164398649773543,0.7463570849724557,1.1086090955605836,0.8775834346684966,0.888,0.663,1.507,0.857,0
3_model,4_model,0.47796290351965465,0.3817115723323403,1.5341155334601417,0.1794025451457588,0.678085217492422,0.1428768244969596,0.955,0.23,1.543,0.921,0
0_model,1_model,0.3038654100541536,0.4689320415229308,0.30297928700857896,0.20422673390586615,0.9993071405051789,0.15727242041842387,0.96,0.176,2.205,0.958,0
0_model,2_model,0.2712926853436982,0.4579297766807835,0.29428330353419785,0.1343944893296663,0.9219960083575899,0.16562706468892338,0.962,0.193,2.016,0.957,0
0_model,3_model,0.20165323019690676,0.320129879276095,0.19802575614077705,0.12752846034514875,0.21960131388358148,0.4717482517476954,0.974,0.217,1.427,0.971,0
